Start,Length,Ref. #,Stat Fact,ShapeF,TrackF,MakeF
27,1.5,21,1,5,2,1
19,1.5,10,1,5,2,3
29,1.5,24,1,5,2,1
3,1.5,1,1,5,2,3
9,1.5,12,1,5,2,3
5,1.5,9,1,5,2,2
18,1.5,6,1,5,2,1
33,1.5,44,1,5,2,1
1,1.5,3,1,5,2,2
37,1.5,31,3,5,2,3
23,1.5,25,1,5,2,3
6,1.5,16,1,5,2,3
14,1.5,22,1,5,2,3
30,1.5,36,1,5,2,1
7,1.5,2,1,5,2,3
10,1.5,4,1,5,2,1
39,1.5,41,1,5,2,2
28,1.5,26,1,5,2,1
21,1.5,30,1,5,2,1
16,1.058,17,2,2,1,1
8,1.058,29,1,2,1,1
13,1.058,7,1,2,1,3
17,1.058,15,1,2,1,1
36,1.058,51,1,2,1,1
37,1.058,56,1,2,1,2
6,1.058,5,1,2,1,3
27,1.058,18,1,2,1,1
10,1.058,19,1,2,1,1
24,1.058,11,1,2,1,1
15,1.058,14,2,2,1,3
33,1.058,39,1,2,1,1
9,1.058,20,1,2,1,2
30,1.058,33,1,2,1,3
4,1.058,8,1,2,1,2
7,1.058,23,1,2,1,2
22,1.058,13,1,2,1,1
21,1.058,21,1,2,1,1
19,1.058,10,1,2,1,3
26,1.058,24,1,2,1,1
14,1.058,1,1,2,1,3
1,1.058,12,1,2,1,3
3,1.058,9,1,2,1,2
20,1.058,6,1,2,1,1
34,1.058,44,2,2,1,1
2,1.058,3,1,2,1,2
28,1.058,31,1,2,1,3
29,1.058,25,1,2,1,3
12,1.058,16,1,2,1,3
23,1.058,22,1,2,1,3
32,1.058,36,1,2,1,1
5,1.058,2,1,2,1,3
18,1.058,4,1,2,1,1
25,1.058,26,1,2,1,1
11,1.058,30,1,2,1,1
14,2.5,17,1,5,1,1
10,2.5,29,1,5,1,1
34,2.5,7,1,5,1,3
37,2.5,15,1,5,1,1
26,2.5,51,3,5,1,1
4,2.5,5,2,5,1,3
39,2.5,18,2,5,1,1
6,2.5,19,1,5,1,1
12,2.5,11,3,5,1,1
31,2.5,14,1,5,1,3
21,2.5,39,2,5,1,1
1,2.5,20,1,5,1,2
16,2.5,33,1,5,1,3
2,2.5,8,1,5,1,2
3,2.5,23,1,5,1,2
5,2.5,13,1,5,1,1
35,2.5,21,1,5,1,1
20,2.5,45,1,5,1,2
30,2.5,10,1,5,1,3
40,2.5,24,1,5,1,1
29,2.5,1,1,5,1,3
7,2.5,12,1,5,1,3
28,2.5,9,1,5,1,2
32,2.5,6,1,5,1,1
24,2.5,44,1,5,1,1
8,2.5,3,1,5,1,2
18,2.5,31,1,5,1,3
13,2.5,25,1,5,1,3
36,2.5,16,1,5,1,3
17,2.5,22,1,5,1,3
22,2.5,36,1,5,1,1
33,2.5,2,1,5,1,3
9,2.5,4,1,5,1,1
27,2.5,41,1,5,1,2
15,2.5,26,1,5,1,1
38,2.5,30,1,5,1,1
25,2,17,1,1,2,1
10,2,29,1,1,2,1
11,2,7,1,1,2,3
5,2,15,1,1,2,1
33,2,51,1,1,2,3
39,2,56,1,1,2,2
18,2,5,1,1,2,3
22,2,18,1,1,2,1
21,2,19,1,1,2,1
23,2,11,1,1,2,1
16,2,14,1,1,2,3
32,2,39,3,1,2,1
40,2,20,1,1,2,2
24,2,33,1,1,2,3
1,2,8,1,1,2,2
4,2,23,1,1,2,2
36,2,53,1,1,2,1
34,2,35,1,1,2,1
15,2,13,1,1,2,1
38,2,34,3,1,2,2
19,2,21,1,1,2,1
9,2,10,1,1,2,3
28,2,24,1,1,2,1
3,2,1,1,1,2,3
12,2,12,1,1,2,3
2,2,9,1,1,2,2
17,2,6,1,1,2,1
31,2,44,1,1,2,1
7,2,3,1,1,2,2
30,2,31,1,1,2,3
29,2,25,1,1,2,3
14,2,16,1,1,2,3
13,2,22,1,1,2,3
35,2,36,3,1,2,1
8,2,2,1,1,2,3
6,2,4,1,1,2,1
37,2,41,3,1,2,1
26,2,28,3,1,2,3
27,2,26,2,1,2,1
20,2,30,1,1,2,1
25,0.533,17,2,2,5,1
22,0.533,29,1,2,5,1
8,0.533,7,1,2,5,3
18,0.533,15,1,2,5,1
40,0.533,56,1,2,5,2
11,0.533,5,1,2,5,3
27,0.533,18,2,2,5,1
2,0.533,19,1,2,5,1
28,0.533,11,1,2,5,1
16,0.533,14,1,2,5,3
30,0.533,39,3,2,5,1
21,0.533,20,1,2,5,2
15,0.533,33,1,2,5,3
7,0.533,8,1,2,5,2
14,0.533,23,1,2,5,2
38,0.533,35,2,2,5,1
20,0.533,13,1,2,5,1
33,0.533,55,2,2,5,2
13,0.533,21,1,2,5,1
34,0.533,45,2,2,5,1
19,0.533,10,1,2,5,3
26,0.533,24,1,2,5,1
6,0.533,1,1,2,5,3
9,0.533,12,1,2,5,3
3,0.533,9,1,2,5,2
1,0.533,6,1,2,5,1
39,0.533,44,1,2,5,1
17,0.533,3,2,2,5,2
29,0.533,31,1,2,5,3
31,0.533,25,2,2,5,3
4,0.533,16,2,2,5,3
12,0.533,22,1,2,5,3
35,0.533,36,1,2,5,1
10,0.533,2,1,2,5,3
24,0.533,4,1,2,5,1
37,0.533,41,1,2,5,2
23,0.533,28,1,2,5,3
32,0.533,26,1,2,5,1
5,0.533,30,1,2,5,1
24,1.366,17,1,2,2,1
4,1.366,29,1,2,2,1
12,1.366,7,1,2,2,3
18,1.366,15,1,2,2,1
37,1.366,51,1,2,2,1
13,1.366,5,1,2,2,3
27,1.366,18,1,2,2,1
11,1.366,19,1,2,2,1
19,1.366,11,1,2,2,1
17,1.366,14,2,2,2,3
34,1.366,39,1,2,2,1
16,1.366,20,1,2,2,2
23,1.366,33,1,2,2,3
1,1.366,8,1,2,2,2
38,1.366,47,1,2,2,1
7,1.366,23,1,2,2,2
31,1.366,13,1,2,2,1
40,1.366,34,1,2,2,2
20,1.366,21,3,2,2,1
32,1.366,45,1,2,2,1
39,1.366,37,2,2,2,2
8,1.366,10,1,2,2,3
29,1.366,24,1,2,2,1
22,1.366,1,1,2,2,3
9,1.366,12,1,2,2,3
5,1.366,9,1,2,2,2
2,1.366,6,1,2,2,1
35,1.366,44,1,2,2,1
3,1.366,3,1,2,2,2
30,1.366,31,3,2,2,3
15,1.366,50,1,2,2,3
26,1.366,25,1,2,2,3
14,1.366,16,1,2,2,3
25,1.366,22,1,2,2,3
33,1.366,36,1,2,2,1
21,1.366,2,1,2,2,3
6,1.366,4,1,2,2,1
36,1.366,41,3,2,2,2
28,1.366,26,1,2,2,1
10,1.366,30,3,2,2,1
24,2.5,17,2,2,1,1
15,2.5,29,1,2,1,1
12,2.5,7,1,2,1,3
18,2.5,15,1,2,1,1
40,2.5,51,1,2,1,3
6,2.5,5,1,2,1,3
28,2.5,18,2,2,1,1
11,2.5,19,1,2,1,1
23,2.5,11,1,2,1,1
8,2.5,14,1,2,1,3
33,2.5,39,1,2,1,1
20,2.5,20,1,2,1,2
25,2.5,33,1,2,1,3
10,2.5,8,1,2,1,2
13,2.5,23,1,2,1,2
21,2.5,13,1,2,1,1
37,2.5,34,2,2,1,2
14,2.5,21,1,2,1,1
35,2.5,45,1,2,1,2
5,2.5,10,1,2,1,3
2,2.5,1,1,2,1,3
4,2.5,12,1,2,1,3
1,2.5,9,1,2,1,2
7,2.5,6,1,2,1,1
34,2.5,44,2,2,1,1
3,2.5,3,3,2,1,2
31,2.5,31,3,2,1,3
29,2.5,50,1,2,1,3
26,2.5,25,1,2,1,3
19,2.5,16,1,2,1,3
38,2.5,42,1,2,1,1
16,2.5,22,3,2,1,3
32,2.5,36,1,2,1,1
9,2.5,2,1,2,1,3
17,2.5,4,1,2,1,1
39,2.5,41,3,2,1,2
30,2.5,26,1,2,1,1
22,2.5,30,1,2,1,1
29,1.5,17,1,5,2,1
9,1.5,29,1,5,2,1
16,1.5,7,1,5,2,3
18,1.5,15,1,5,2,1
38,1.5,51,1,5,2,3
13,1.5,5,1,5,2,3
31,1.5,18,3,5,2,1
7,1.5,19,2,5,2,1
28,1.5,11,1,5,2,1
15,1.5,14,1,5,2,3
32,1.5,39,1,5,2,1
19,1.5,20,1,5,2,2
27,1.5,33,1,5,2,3
3,1.5,8,2,5,2,2
1,1.5,23,2,5,2,2
12,1.5,13,2,5,2,1
35,1.5,34,1,5,2,2
17,1.5,21,1,5,2,1
36,1.5,45,1,5,2,2
2,1.5,10,1,5,2,3
5,1.5,1,2,5,2,3
8,1.5,12,1,5,2,3
4,1.5,9,1,5,2,2
11,1.5,6,1,5,2,1
33,1.5,54,1,5,2,1
37,1.5,44,1,5,2,1
10,1.5,3,1,5,2,2
26,1.5,31,1,5,2,3
24,1.5,25,2,5,2,3
20,1.5,16,1,5,2,3
40,1.5,42,1,5,2,1
14,1.5,22,2,5,2,3
34,1.5,36,1,5,2,1
6,1.5,2,1,5,2,3
22,1.5,4,1,5,2,1
39,1.5,41,1,5,2,2
23,1.5,28,1,5,2,3
30,1.5,26,2,5,2,1
21,1.5,30,2,5,2,1
28,0.75,17,1,1,5,1
13,0.75,29,1,1,5,1
6,0.75,7,1,1,5,3
26,0.75,15,1,1,5,1
7,0.75,5,1,1,5,3
25,0.75,18,1,1,5,1
18,0.75,19,1,1,5,1
22,0.75,11,1,1,5,1
24,0.75,14,1,1,5,3
10,0.75,27,1,1,5,3
31,0.75,39,1,1,5,1
38,0.75,20,1,1,5,2
40,0.75,33,1,1,5,3
2,0.75,8,1,1,5,2
8,0.75,23,1,1,5,2
14,0.75,13,1,1,5,1
32,0.75,34,1,1,5,2
21,0.75,21,1,1,5,1
35,0.75,37,1,1,5,1
12,0.75,10,1,1,5,3
1,0.75,1,1,1,5,3
5,0.75,12,1,1,5,3
11,0.75,9,1,1,5,2
9,0.75,6,1,1,5,1
36,0.75,44,1,1,5,1
3,0.75,3,1,1,5,2
27,0.75,31,1,1,5,3
17,0.75,50,1,1,5,3
23,0.75,25,1,1,5,3
20,0.75,16,1,1,5,3
15,0.75,22,1,1,5,3
30,0.75,36,1,1,5,1
4,0.75,2,1,1,5,3
16,0.75,4,1,1,5,1
37,0.75,41,1,1,5,2
29,0.75,26,1,1,5,1
19,0.75,30,1,1,5,1
